gene_representative,product_name
195.2024.peg.188,ATP/GTP-binding protein
195.2024.peg.907,Molybdopterin molybdenumtransferase (EC 2.10.1.1)
195.2024.peg.1607,4-hydroxy-tetrahydrodipicolinate reductase (EC 1.17.1.8)
195.2024.peg.977,"Ferric siderophore transport system, biopolymer transport protein ExbD"
195.2024.peg.79,hypothetical protein
195.2024.peg.1566,Ferredoxin-type protein NapG (periplasmic nitrate reductase)
195.2024.peg.693,"LSU ribosomal protein L33p @ LSU ribosomal protein L33p, zinc-independent"
195.2024.peg.72,tRNA ho5U(34) carboxymethyltransferase
195.2024.peg.517,Phosphoglutamine cytidylyltransferase (EC 2.7.7.-) in O-methyl phosphoramidate capsule modification
195.2024.peg.964,hypothetical protein
195.2024.peg.1086,LSU ribosomal protein L6p (L9e)
195.2024.peg.310,Aliphatic amidase AmiE (EC 3.5.1.4)
195.2024.peg.311,Putative polysaccharide deacetylase
195.2024.peg.673,SSU ribosomal protein S7p (S5e)
195.2024.peg.867,LSU ribosomal protein L13p (L13Ae)
195.2024.peg.1498,Phosphatidylserine decarboxylase (EC 4.1.1.65)
195.2024.peg.302,S-ribosylhomocysteine lyase (EC 4.4.1.21) @ Autoinducer-2 production protein LuxS
195.2024.peg.618,hypothetical protein
195.2024.peg.841,tRNA(Ile)-lysidine synthetase (EC 6.3.4.19)
195.2024.peg.1638,Predicted signal transduction protein
195.2024.peg.660,Putative aminotransferase
195.2024.peg.1350,NADH-ubiquinone oxidoreductase chain C (EC 1.6.5.3)
195.2024.peg.510,Cytidine diphosphoramidate kinase Cj1415
195.2024.peg.1230,Demethylmenaquinone methyltransferase (EC 2.1.1.163)
195.2024.peg.670,tRNA(1)(Val) (adenine(37)-N(6))-methyltransferase (EC 2.1.1.223)
195.2024.peg.1094,LSU ribosomal protein L16p (L10e)
195.2024.peg.1547,Holliday junction ATP-dependent DNA helicase RuvA (EC 3.6.4.12)
195.2024.peg.247,Aminotransferase
195.2024.peg.398,Adenosine (5')-pentaphospho-(5'')-adenosine pyrophosphohydrolase
195.2024.peg.1228,Peroxide stress regulator; Ferric uptake regulation protein; Fe2+/Zn2+ uptake regulation proteins
195.2024.peg.781,YheO-like PAS domain
195.2024.peg.1311,hypothetical protein
195.2024.peg.685,DNA-directed RNA polymerase beta' subunit (EC 2.7.7.6)
195.2024.peg.1602,Biotin sulfoxide reductase (EC 1.-.-.-) / Free methionine-(S)-sulfoxide reductase
195.2024.peg.367,"GMP synthase [glutamine-hydrolyzing], amidotransferase subunit (EC 6.3.5.2) / GMP synthase [glutamine-hydrolyzing], ATP pyrophosphatase subunit (EC 6.3.5.2)"
195.2024.peg.473,"Integral membrane zinc-metalloprotease HP0382, M48 family"
195.2024.peg.1701,RNA-binding protein Jag
195.2024.peg.883,Carbamoyl-phosphate synthase small chain (EC 6.3.5.5)
195.2024.peg.1382,Imidazole glycerol phosphate synthase amidotransferase subunit HisH
195.2024.peg.455,"N,N'-diacetyllegionaminic acid synthase (EC 2.5.1.101)"
195.2024.peg.1606,Amidophosphoribosyltransferase (EC 2.4.2.14)
195.2024.peg.380,"pyridoxal phosphate-dependent deaminase, putative"
195.2024.peg.405,Acetolactate synthase large subunit (EC 2.2.1.6)
195.2024.peg.601,Murein hydrolase activator EnvC
195.2024.peg.1633,Iron-sulfur cluster assembly scaffold protein IscU/NifU-like
195.2024.peg.930,UPF0317 protein YcsI
195.2024.peg.158,Uncharacterized amidohydrolase HP_1481
195.2024.peg.453,"GDP-2-acetamido-2,6-dideoxy-alpha-D-xylo-hexos-4-ulose aminotransferase [PLP]"
195.2024.peg.187,Endonuclease III (EC 4.2.99.18)
195.2024.peg.7,SSU ribosomal protein S15p (S13e)
195.2024.peg.210,"ATP-dependent DNA helicase UvrD/PcrA/Rep, epsilon proteobacterial type 2"
195.2024.peg.306,"5,10-methylenetetrahydrofolate reductase (EC 1.5.1.20)"
195.2024.peg.1521,hypothetical protein
195.2024.peg.1190,Zinc transporter ZupT
195.2024.peg.810,"hydrolase, haloacid dehalogenase-like family"
195.2024.peg.1399,Haemin uptake system periplasmic haemin-binding protein
195.2024.peg.1644,hypothetical protein
195.2024.peg.1629,Protein translocase membrane subunit SecG
195.2024.peg.650,Putative periplasmic protein
195.2024.peg.217,ATP-dependent Clp protease ATP-binding subunit ClpA
195.2024.peg.269,hypothetical protein
195.2024.peg.974,"major facilitator family transporter, putative"
195.2024.peg.190,Polymer-forming bactofilin
195.2024.peg.1202,Aspartate 1-decarboxylase (EC 4.1.1.11)
195.2024.peg.462,"ABC transporter, substrate-binding protein (cluster 3, basic aa/glutamine/opines)"
195.2024.peg.837,Hypothetical UPF0306 protein Cj1449c
195.2024.peg.938,hypothetical protein
195.2024.peg.244,hypothetical protein
195.2024.peg.820,hypothetical protein
195.2024.peg.1189,Lipid-A-disaccharide synthase (EC 2.4.1.182)
195.2024.peg.121,Signal-transduction regulatory protein FlgR
195.2024.peg.998,Membrane protein
195.2024.peg.1278,Putative flagellar motility protein
195.2024.peg.911,hypothetical protein
195.2024.peg.265,DNA polymerase III subunits gamma and tau (EC 2.7.7.7)
195.2024.peg.1277,SSU ribosomal protein S21p
195.2024.peg.1046,Tol-Pal system peptidoglycan-associated lipoprotein PAL
195.2024.peg.404,Acetolactate synthase small subunit (EC 2.2.1.6)
195.2024.peg.1645,Exodeoxyribonuclease III (EC 3.1.11.2)
195.2024.peg.1149,"2-keto-4-pentenoate hydratase/2-oxohepta-3-ene-1,7-dioic acid hydratase (catechol pathway)"
195.2024.peg.991,Menaquinone via futalosine polyprenyltransferase (MenA homolog)
195.2024.peg.582,"Cytochrome c-type biogenesis protein DsbD, protein-disulfide reductase (EC 1.8.1.8)"
195.2024.peg.560,[NiFe] hydrogenase metallocenter assembly protein HypE
195.2024.peg.300,Glycerol-3-phosphate dehydrogenase [NAD(P)+] (EC 1.1.1.94)
195.2024.peg.1205,Class D beta-lactamase (EC 3.5.2.6) => OXA-61 family
195.2024.peg.1066,DNA ligase (ATP) (EC 6.5.1.1)
195.2024.peg.1142,Ribonuclease HII (EC 3.1.26.4)
195.2024.peg.1481,Hemerythrin domain protein
195.2024.peg.1567,Periplasmic nitrate reductase (EC 1.7.99.4)
195.2024.peg.1241,"4Fe-4S ferredoxin, iron-sulfur binding"
195.2024.peg.89,16S rRNA (guanine(527)-N(7))-methyltransferase (EC 2.1.1.170)
195.2024.peg.1446,Glutamate racemase (EC 5.1.1.3)
195.2024.peg.966,Phosphoribosylglycinamide formyltransferase (EC 2.1.2.2)
195.2024.peg.550,Inorganic pyrophosphatase (EC 3.6.1.1)
195.2024.peg.597,Tyrosyl-tRNA synthetase (EC 6.1.1.1)
195.2024.peg.1301,Malate:quinone oxidoreductase (EC 1.1.5.4)
195.2024.peg.906,Molybdopterin synthase catalytic subunit MoaE (EC 2.8.1.12)
195.2024.peg.757,Acid membrane antigen A
195.2024.peg.303,"2-Oxobutyrate oxidase, putative"
195.2024.peg.1462,hypothetical protein
195.2024.peg.1154,Thymidylate synthase ThyX (EC 2.1.1.148)
195.2024.peg.595,N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28)
195.2024.peg.1622,Protein-L-isoaspartate O-methyltransferase (EC 2.1.1.77)
195.2024.peg.1221,"NagD, Predicted sugar phosphatases of the HAD superfamily"
195.2024.peg.567,Na+-driven multidrug efflux pump
195.2024.peg.1651,Hypothetical protein Cj0261c
195.2024.peg.1549,Hypothetical protein Cj0797c
195.2024.peg.848,JHP0747 family
195.2024.peg.1330,Bis-ABC ATPase YbiT
195.2024.peg.748,Enterochelin uptake ATP-binding protein
195.2024.peg.1157,L-asparaginase (EC 3.5.1.1)
195.2024.peg.26,Putative periplasmic protein
195.2024.peg.801,Cytochrome P450 family protein
195.2024.peg.1592,hypothetical protein
195.2024.peg.73,Hot dog fold protein HP0420
195.2024.peg.971,Protein PhnA
195.2024.peg.1038,"Metal-dependent hydrolase YbeY, involved in rRNA and/or ribosome maturation and assembly"
195.2024.peg.126,Outer membrane liproprotein mapA precursor
195.2024.peg.1716,Lipoprotein releasing system transmembrane protein LolC/LolE
195.2024.peg.1620,N-acetylglutamate kinase (EC 2.7.2.8)
195.2024.peg.298,Probable low-affinity inorganic phosphate transporter
195.2024.peg.1430,Ribonuclease HI (EC 3.1.26.4)
195.2024.peg.846,Thiamine-monophosphate kinase (EC 2.7.4.16)
195.2024.peg.953,"Arsenate reductase (EC 1.20.4.4) thioredoxin-coupled, LMWP family"
195.2024.peg.1008,Thioredoxin
195.2024.peg.653,Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6)
195.2024.peg.78,"ABC transporter, substrate-binding protein (cluster 3, basic aa/glutamine/opines)"
195.2024.peg.916,Putative periplasmic protein
195.2024.peg.42,"Copper metallochaperone PCu(A)C, inserts Cu(I) into cytochrome oxidase subunit II"
195.2024.peg.493,hypothetical protein
195.2024.peg.1501,"Cell division integral membrane protein, YggT and half-length relatives"
195.2024.peg.1634,Cysteine desulfurase (EC 2.8.1.7)
195.2024.peg.304,Methionine ABC transporter substrate-binding protein
195.2024.peg.1072,Flagellar biosynthesis protein FliQ
195.2024.peg.1306,Aspartyl-tRNA(Asn) amidotransferase subunit C (EC 6.3.5.6) @ Glutamyl-tRNA(Gln) amidotransferase subunit C (EC 6.3.5.7)
195.2024.peg.785,"Formerly called adenylosuccinate lyase (similar to archaeal version), but most likely something else"
195.2024.peg.1438,"(2E,6E)-farnesyl diphosphate synthase (EC 2.5.1.10)"
195.2024.peg.1233,Tripartite tricarboxylate transporter TctC family
195.2024.peg.1578,Flagellar basal-body P-ring formation protein FlgA
195.2024.peg.192,Dihydrofolate synthase (EC 6.3.2.12) @ Folylpolyglutamate synthase (EC 6.3.2.17)
195.2024.peg.791,Triosephosphate isomerase (EC 5.3.1.1)
195.2024.peg.814,D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)
195.2024.peg.1500,Glutamyl-tRNA(Gln) synthetase (EC 6.1.1.24)
195.2024.peg.640,Flagellar basal-body rod protein FlgB
195.2024.peg.1675,GTP-binding protein TypA/BipA
195.2024.peg.1360,glcG protein
195.2024.peg.1275,"Transcriptional repressor of CmeABC operon, CmeR"
195.2024.peg.983,"Ferric iron ABC transporter, permease protein"
195.2024.peg.1431,Putative periplasmic protein
195.2024.peg.1516,"Threonine dehydratase, catabolic (EC 4.3.1.19) @ L-serine dehydratase, (PLP)-dependent (EC 4.3.1.17)"
195.2024.peg.1026,UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase (EC 3.5.1.108)
195.2024.peg.86,Ornithine carbamoyltransferase (EC 2.1.3.3)
195.2024.peg.1254,"Anthranilate synthase, amidotransferase component (EC 4.1.3.27) / Anthranilate phosphoribosyltransferase (EC 2.4.2.18)"
195.2024.peg.1542,Dihydroorotate dehydrogenase (quinone) (EC 1.3.5.2)
195.2024.peg.1055,ATP synthase delta chain (EC 3.6.3.14)
195.2024.peg.437,FIG00470572: hypothetical protein
195.2024.peg.1103,LSU rRNA pseudouridine(2605) synthase (EC 5.4.99.22)
195.2024.peg.257,D-sedoheptulose 7-phosphate isomerase (EC 5.3.1.28)
195.2024.peg.1022,Translation initiation factor 2
195.2024.peg.637,Isocitrate dehydrogenase [NADP] (EC 1.1.1.42); Monomeric isocitrate dehydrogenase [NADP] (EC 1.1.1.42)
195.2024.peg.617,Translation elongation factor P
195.2024.peg.450,Pseudaminic acid synthase (EC 2.5.1.97)
195.2024.peg.282,Flagellar biosynthesis protein FliR
195.2024.peg.790,Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9)
195.2024.peg.1,Cysteine desulfurase (EC 2.8.1.7)
195.2025.peg.728,SSU ribosomal protein S11p (S14e)
195.2025.peg.988,hypothetical protein
195.2025.peg.1656,Multimodular transpeptidase-transglycosylase (EC 2.4.1.129) (EC 3.4.-.-)
195.2025.peg.1558,"L-serine dehydratase, beta subunit (EC 4.3.1.17) / L-serine dehydratase, alpha subunit (EC 4.3.1.17)"
195.2025.peg.826,hypothetical protein
195.2025.peg.1727,hypothetical protein
195.2025.peg.198,"Beta-1,3-galactosyltransferase / Beta-1,4-galactosyltransferase"
195.2025.peg.1663,hypothetical protein
195.2025.peg.1044,Methyl-accepting chemotaxis signal transduction protein
195.2025.peg.1655,Multimodular transpeptidase-transglycosylase (EC 2.4.1.129) (EC 3.4.-.-)
195.2025.peg.1255,Small hydrophobic protein
195.2025.peg.561,hypothetical protein
195.2025.peg.1657,Integral membrane protein
195.2025.peg.916,haloacid dehalogenase-like hydrolase domain/phosphoribulokinase domain protein
195.2025.peg.296,hypothetical protein
195.2025.peg.1557,"L-serine dehydratase, beta subunit (EC 4.3.1.17) / L-serine dehydratase, alpha subunit (EC 4.3.1.17)"
195.2025.peg.1747,Flagellin
195.2025.peg.781,hypothetical protein
195.2025.peg.446,hypothetical protein
195.2025.peg.60,Alternative dihydrofolate reductase 2 / Dihydropteroate synthase (EC 2.5.1.15)
195.2025.peg.24,hypothetical protein
195.2025.peg.1746,Motility accessory factor
195.2025.peg.948,Predicted hydrolase of the alpha/beta superfamily
195.2025.peg.560,hypothetical protein
195.2025.peg.1543,"Hemolysin, putative"
195.2025.peg.784,"Type I restriction-modification system, specificity subunit S"
195.2025.peg.783,Fic family protein MloA
195.2025.peg.1542,Putative large exoprotein involved in heme utilization or adhesion of ShlA/HecA/FhaA family
195.2025.peg.906,hypothetical protein
195.2025.peg.197,"Beta-1,3-galactosyltransferase / Beta-1,4-galactosyltransferase"
195.2025.peg.780,hypothetical protein
195.2025.peg.1371,hypothetical protein
195.2025.peg.1654,hypothetical protein
195.2026.peg.1380,hypothetical protein
195.2026.peg.1309,hypothetical protein
195.2026.peg.1255,"Type I restriction-modification system, restriction subunit R (EC 3.1.21.3)"
195.2026.peg.802,hypothetical protein
195.2026.peg.145,"PhoX, Predicted phosphatase"
195.2026.peg.1559,Anaerobic C4-dicarboxylate transporter DcuC
195.2026.peg.1523,GDP-L-fucose synthetase (EC 1.1.1.271)
195.2026.peg.1400,hypothetical protein
195.2026.peg.1355,Probable integral membrane protein Cj1452
195.2026.peg.1557,Anaerobic C4-dicarboxylate transporter DcuC
195.2026.peg.1761,hypothetical protein
195.2026.peg.498,Membrane protein
195.2026.peg.38,FIG00638667: hypothetical protein
195.2026.peg.795,hypothetical protein
195.2026.peg.1677,Major antigenic peptide PEB2
195.2026.peg.1375,hypothetical protein
195.2026.peg.1202,hypothetical protein
195.2026.peg.713,"Type I restriction-modification system, DNA-methyltransferase subunit M (EC 2.1.1.72)"
195.2026.peg.270,hypothetical protein
195.2026.peg.1479,hypothetical protein
195.2026.peg.716,hypothetical protein
195.2026.peg.798,hypothetical protein
195.2026.peg.1253,hypothetical protein
195.2026.peg.281,hypothetical protein
195.2026.peg.1367,hypothetical protein
195.2026.peg.1526,D-sedoheptulose 7-phosphate isomerase (EC 5.3.1.28)
195.2026.peg.814,FIG00471048: hypothetical protein
195.2026.peg.1793,hypothetical protein
195.2026.peg.1383,hypothetical protein
195.2026.peg.1199,"Transcriptional regulator, YafY family"
195.2026.peg.1406,hypothetical protein
195.2026.peg.1150,Channel-forming transporter/cytolysins activator of TpsB family
195.2026.peg.1161,hypothetical protein
195.2026.peg.22,hypothetical protein
195.2026.peg.283,"Cytolethal distending toxin subunit B, DNase I-like"
195.2026.peg.138,"McrBC restriction endonuclease system, McrB subunit, putative"
195.2026.peg.140,DNA-cytosine methyltransferase (EC 2.1.1.37)
195.2026.peg.714,Putative phage protein
195.2026.peg.139,hypothetical protein
195.2026.peg.1369,hypothetical protein
195.2026.peg.1786,"Beta-1,3-galactosyltransferase / Beta-1,4-galactosyltransferase"
195.2026.peg.1399,hypothetical protein
195.2026.peg.1340,Transmembrane protein YfcA
195.2026.peg.1658,Membrane protein
195.2026.peg.980,Type III restriction-modification system methylation subunit (EC 2.1.1.72)
195.2026.peg.1244,aminoglycoside 6-adenylyltransferase
195.2026.peg.522,putative periplasmic protein
195.2026.peg.1285,CRISPR-associated protein Cas1
195.2026.peg.1787,hypothetical protein
195.2026.peg.723,"Transcriptional regulator, AraC family"
195.2026.peg.1266,hypothetical protein
195.2026.peg.1514,hypothetical protein
195.2026.peg.1402,hypothetical protein
195.2026.peg.520,FIG00638667: hypothetical protein
195.2026.peg.467,Glycerate kinase (EC 2.7.1.31)
195.2026.peg.1201,hypothetical protein
195.2026.peg.1368,hypothetical protein
195.2026.peg.1529,"3'(2'),5'-bisphosphate nucleotidase (EC 3.1.3.7)"
195.2026.peg.532,"sodium/pantothenate symporter , putative"
195.2026.peg.1401,hypothetical protein
195.2026.peg.1377,hypothetical protein
195.2026.peg.1521,CDP-4-dehydro-6-deoxy-D-glucose 3-dehydratase (EC 4.2.1.-)
195.2026.peg.1781,UDP-glucose 6-dehydrogenase (EC 1.1.1.22)
195.2026.peg.797,hypothetical protein
195.2026.peg.47,lipopolysaccharide core biosynthesis protein LpsA
195.2026.peg.1391,hypothetical protein
195.2026.peg.758,hypothetical protein
195.2026.peg.981,Type III restriction-modification system DNA endonuclease res (EC 3.1.21.5)
195.2026.peg.979,Type III restriction-modification system methylation subunit (EC 2.1.1.72)
195.2026.peg.1027,"Methyltransferase (EC 2.1.1.-), possibly involved in O-methyl phosphoramidate capsule modification"
195.2026.peg.1076,"Ferric iron ABC transporter, ATP-binding protein"
195.2026.peg.688,hypothetical protein
195.2026.peg.1075,"ABC transporter, permease protein 2 (cluster 1, maltose/g3p/polyamine/iron)"
195.2026.peg.1533,Adenylylsulfate kinase (EC 2.7.1.25)
195.2026.peg.1394,hypothetical protein
195.2026.peg.973,Acylphosphate phosphohydrolase (EC 3.6.1.7) / [NiFe] hydrogenase metallocenter assembly protein HypF
195.2026.peg.1381,"terminase B protein, putative"
195.2026.peg.746,"Branched-chain amino acid ABC transporter, substrate-binding protein LivJ (TC 3.A.1.4.1)"
195.2026.peg.1384,hypothetical protein
195.2026.peg.1388,hypothetical protein
195.2026.peg.1560,Anaerobic C4-dicarboxylate transporter DcuC
195.2026.peg.466,ABC transporter ATP-binding protein
195.2026.peg.1389,"phage repressor protein, putative"
195.2026.peg.1791,hypothetical protein
195.2026.peg.1297,hypothetical protein
195.2026.peg.1372,hypothetical protein
195.2026.peg.1390,hypothetical protein
195.2026.peg.506,hypothetical protein
195.2026.peg.23,4-cresol dehydrogenase [hydroxylating] flavoprotein subunit (EC 1.17.99.1)
195.2026.peg.756,hypothetical protein
195.2026.peg.266,"probable periplasmic protein Cj0413 , putative"
195.2026.peg.429,hypothetical protein
195.2026.peg.1544,hypothetical protein
195.2026.peg.1267,Mobile element protein
195.2026.peg.715,FIG00469921: hypothetical protein
195.2026.peg.1395,hypothetical protein
195.2026.peg.267,hypothetical protein
195.2026.peg.1397,hypothetical protein
195.2026.peg.1254,"Type I restriction-modification system, restriction subunit R (EC 3.1.21.3)"
195.2026.peg.1196,"LSU ribosomal protein L36p @ LSU ribosomal protein L36p, zinc-dependent"
195.2026.peg.1386,hypothetical protein
195.2026.peg.1339,Transmembrane protein YfcA
195.2026.peg.1283,hypothetical protein
195.2026.peg.1638,hypothetical protein
195.2026.peg.1396,hypothetical protein
195.2026.peg.1252,RloE
195.2026.peg.1407,hypothetical protein
195.2026.peg.1410,hypothetical protein
195.2026.peg.1378,hypothetical protein
195.2026.peg.1251,hypothetical protein
195.2026.peg.718,Sulfur carrier protein ThiS / Sulfur carrier protein ThiS adenylyltransferase (EC 2.7.7.73)
195.2026.peg.1165,Hemerythrin-like iron-binding protein
195.2026.peg.1408,hypothetical protein
195.2026.peg.600,"D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase (EC 3.1.3.82)"
195.2026.peg.1643,"Acetyltransferase, GNAT family"
195.2026.peg.1598,Enterochelin uptake permease CeuB
195.2026.peg.813,Dicarboxylate carrier protein
195.2026.peg.195,Cell division trigger factor (EC 5.2.1.8)
195.2026.peg.1393,hypothetical protein
195.2026.peg.1799,hypothetical protein
195.2026.peg.1282,"C4-dicarboxylate anaerobic carrier, putative"
195.2026.peg.1376,hypothetical protein
195.2026.peg.1714,hypothetical protein
195.2026.peg.1392,hypothetical protein
195.2026.peg.1449,Small hydrophobic protein
195.2026.peg.1275,hypothetical protein
195.2026.peg.1373,FIG00470767: hypothetical protein
195.2026.peg.1597,Enterochelin uptake permease CeuB
195.2026.peg.1404,hypothetical protein
195.2026.peg.1382,hypothetical protein
195.2026.peg.1286,CRISPR-associated protein Cas2
195.2026.peg.722,"Transcriptional regulator, AraC family"
195.2026.peg.245,FIG00471707: hypothetical protein
195.2026.peg.656,hypothetical protein
195.2026.peg.1074,"ABC transporter, permease protein 2 (cluster 1, maltose/g3p/polyamine/iron)"
195.2026.peg.1398,hypothetical protein
195.2026.peg.1646,hypothetical protein
195.2026.peg.269,DNA modification methyltransferase (EC 2.1.1.-)
195.2026.peg.757,hypothetical protein
195.2026.peg.705,hypothetical protein
195.2026.peg.799,FIG00471942: hypothetical protein
195.2026.peg.1480,hypothetical protein
195.2026.peg.1524,"GDP-mannose 4,6-dehydratase (EC 4.2.1.47)"
195.2026.peg.304,hypothetical protein
195.2026.peg.1788,"Uncharacterized amino acid permease, GabP family"
195.2026.peg.1379,hypothetical protein
195.2026.peg.1780,"CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (EC 2.4.99.-)"
195.2026.peg.26,Tat (twin-arginine translocation) pathway signal sequence domain protein
195.2026.peg.1520,"CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (EC 2.4.99.-)"
195.2026.peg.1776,hypothetical protein
195.2026.peg.420,putative membrane protein
195.2026.peg.1409,hypothetical protein
195.2026.peg.1411,Phage antirepressor protein
195.2026.peg.1091,hypothetical protein
195.2026.peg.794,hypothetical protein
195.2026.peg.198,Methyl-accepting chemotaxis signal transduction protein
195.2026.peg.1797,FIG00973752: TolA-like membrane protein
195.2026.peg.687,hypothetical protein
195.2026.peg.1370,hypothetical protein
195.2026.peg.137,hypothetical protein
195.2026.peg.1198,Putative transcriptional regulator
195.2026.peg.1403,hypothetical protein
195.2026.peg.1637,FIG00470572: hypothetical protein
195.2027.peg.386,hypothetical protein
195.2027.peg.1464,hypothetical protein
195.2027.peg.1205,hypothetical protein
195.2027.peg.807,"ABC-type siderophore export system, fused ATPase and permease components"
195.2027.peg.372,hypothetical protein
195.2027.peg.966,hypothetical protein
195.2027.peg.135,hypothetical protein
195.2027.peg.383,hypothetical protein
195.2027.peg.1794,Motility accessory factor
195.2027.peg.1181,"Tetracycline resistance, ribosomal protection type => Tet(O)"
195.2027.peg.1619,Membrane protein
195.2027.peg.1172,hypothetical protein
195.2027.peg.1547,"CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (EC 2.4.99.-)"
195.2027.peg.1473,IncF plasmid conjugative transfer protein TraN
195.2027.peg.170,hypothetical protein
195.2027.peg.1203,Bacillosamine/Legionaminic acid biosynthesis aminotransferase PglE; 4-keto-6-deoxy-N-Acetyl-D-hexosaminyl-(Lipid carrier) aminotransferase
195.2027.peg.1776,hypothetical protein
195.2027.peg.1429,"McrBC restriction endonuclease system, McrB subunit, putative"
195.2027.peg.378,hypothetical protein
195.2027.peg.1311,4-cresol dehydrogenase [hydroxylating] flavoprotein subunit (EC 1.17.99.1)
195.2027.peg.335,hypothetical protein
195.2027.peg.1156,"Uncharacterized membrane protein, YraQ family"
195.2027.peg.89,putative butyryltransferase
195.2027.peg.87,hypothetical protein
195.2027.peg.847,Hemerythrin-like iron-binding protein
195.2027.peg.387,hypothetical protein
195.2027.peg.1206,hypothetical protein
195.2027.peg.1430,hypothetical protein
195.2027.peg.1535,CDP-abequose synthase
195.2027.peg.1791,Glucose-6-phosphate 1-dehydrogenase (EC 1.1.1.49)
195.2027.peg.872,Putative large exoprotein involved in heme utilization or adhesion of ShlA/HecA/FhaA family
195.2027.peg.1472,hypothetical protein
195.2027.peg.1536,UDP-glucose 6-dehydrogenase (EC 1.1.1.22)
195.2027.peg.492,hypothetical protein
195.2027.peg.1534,"Putative O-antigen synthesis protein, WbyH"
195.2027.peg.90,Putative N-acetylgalactosaminyl-diphosphoundecaprenol glucuronosyltransferase
195.2027.peg.166,Putative membrane protein
195.2027.peg.298,Putative periplasmic protein
195.2027.peg.1578,FIG00470572: hypothetical protein
195.2027.peg.1170,"Type I restriction-modification system, specificity subunit S"
195.2027.peg.514,FIG00471048: hypothetical protein
195.2027.peg.84,"dTDP-glucose 4,6-dehydratase (EC 4.2.1.46)"
195.2027.peg.1477,hypothetical protein
195.2027.peg.390,hypothetical protein
195.2027.peg.781,Phosphoserine phosphatase (EC 3.1.3.3)
195.2027.peg.78,D-sedoheptulose 7-phosphate isomerase (EC 5.3.1.28)
195.2027.peg.776,hypothetical protein
195.2027.peg.1468,hypothetical protein
195.2027.peg.388,hypothetical protein
195.2027.peg.1787,Homolog of fucose/glucose/galactose permeases
195.2027.peg.624,Arginine/ornithine antiporter ArcD
195.2027.peg.1138,Integral membrane protein
195.2027.peg.379,hypothetical protein
195.2027.peg.515,hypothetical protein
195.2027.peg.1537,UDP-glucuronate decarboxylase (EC 4.1.1.35)
195.2027.peg.1589,"GDP-4-amino-4,6-dideoxy-alpha-D-acetylglucosamine N-acetyltransferase"
195.2027.peg.1588,hypothetical protein
195.2027.peg.512,Dicarboxylate carrier protein
195.2027.peg.1465,hypothetical protein
195.2027.peg.385,hypothetical protein
195.2027.peg.380,hypothetical protein
195.2027.peg.382,hypothetical protein
195.2027.peg.961,Phospho-N-acetylmuramoyl-pentapeptide-transferase (EC 2.7.8.13)
195.2027.peg.1540,hypothetical protein
195.2027.peg.1171,"Type I restriction-modification system, specificity subunit S"
195.2027.peg.669,FIG00469879: hypothetical protein
195.2027.peg.869,hypothetical protein
195.2027.peg.1328,hypothetical protein
195.2027.peg.1167,"Type I restriction-modification system, DNA-methyltransferase subunit M (EC 2.1.1.72)"
195.2027.peg.962,Sodium-dependent anion transporter family
195.2027.peg.377,hypothetical protein
195.2027.peg.940,Bacteriocin resistance protein; peptidase C39
195.2027.peg.684,Family of unknown function (DUF450) family
195.2027.peg.1682,Biotin sulfoxide reductase (EC 1.-.-.-) / Free methionine-(S)-sulfoxide reductase
195.2027.peg.615,UbiD family decarboxylase associated with menaquinone via futalosine
195.2027.peg.1470,hypothetical protein
195.2027.peg.1533,"Putative O-antigen synthesis protein, WbyH"
195.2027.peg.777,hypothetical protein
195.2027.peg.1790,"6-phosphogluconolactonase (EC 3.1.1.31), eukaryotic type"
195.2027.peg.616,Flagellar protein FlaG
195.2027.peg.1139,Integral membrane protein
195.2027.peg.1141,putative lipoprotein
195.2027.peg.1601,Chorismate dehydratase (EC 4.2.1.151)
195.2027.peg.86,Putative transferase
195.2027.peg.1576,hypothetical protein
195.2027.peg.336,hypothetical protein
195.2027.peg.1575,"3-oxoacyl-[acyl-carrier-protein] synthase, KASIII (EC 2.3.1.41)"
195.2027.peg.1140,hypothetical protein
195.2027.peg.1587,hypothetical protein
195.2027.peg.1538,CDP-4-dehydro-6-deoxy-D-glucose 3-dehydratase (EC 4.2.1.-)
195.2027.peg.954,Flagellar hook-length control protein FliK
195.2027.peg.1270,FIG00638667: hypothetical protein
195.2027.peg.370,hypothetical protein
195.2027.peg.1683,putative cytochrome C-type haem-binding periplasmic protein
195.2027.peg.782,Phosphoserine phosphatase (EC 3.1.3.3)
195.2027.peg.1793,4-hydroxy-2-oxoglutarate aldolase (EC 4.1.3.16) @ 2-dehydro-3-deoxyphosphogluconate aldolase (EC 4.1.2.14)
195.2027.peg.1442,hypothetical protein
195.2027.peg.1656,hypothetical protein
195.2027.peg.963,Translation elongation factor LepA
195.2027.peg.625,membrane protein
