cluster,product_name
Cluster 1566,Ketol-acid reductoisomerase (NADP(+)) (EC 1.1.1.86)
Cluster 1567,hypothetical protein
Cluster 1568,hypothetical protein
Cluster 1569,hypothetical protein
Cluster 1570,hypothetical protein
Cluster 1571,hypothetical protein
Cluster 1572,"3-oxoacyl-[acyl-carrier-protein] synthase, KASIII (EC 2.3.1.41)"
Cluster 1573,hypothetical protein
Cluster 1574,"3,4-dihydroxy-2-butanone 4-phosphate synthase (EC 4.1.99.12) / GTP cyclohydrolase II (EC 3.5.4.25)"
Cluster 1575,Dienelactone hydrolase and related enzymes
Cluster 1576,Flagellar sensory histidine kinase FlgS
Cluster 1577,A/G-specific adenine glycosylase (EC 3.2.2.-)
Cluster 1578,Possible sugar transferase
Cluster 1579,hypothetical protein
Cluster 1580,"ATPase required for both assembly of type IV secretion complex and secretion of T-DNA complex, VirB11"
Cluster 1581,D-glycero-alpha-D-manno-heptose 7-phosphate kinase (EC 2.7.1.168)
Cluster 1582,Channel-forming transporter/cytolysins activator of TpsB family
Cluster 1583,Probable periplasmic protein Cj0776c
Cluster 1584,hypothetical protein
Cluster 1585,"Beta-1,3-glucosyltransferase"
Cluster 1586,Oligoendopeptidase F-like protein
Cluster 1587,tRNA-specific 2-thiouridylase MnmA (EC 2.8.1.13)
Cluster 1588,UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (EC 2.4.1.227)
Cluster 1589,"CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (EC 2.4.99.-)"
Cluster 1590,FIG00638667: hypothetical protein
Cluster 1591,Sodium-dependent phosphate transporter
Cluster 1592,hypothetical protein
Cluster 1593,"Oligopeptide transporter, OPT family"
Cluster 1594,hypothetical protein
Cluster 1595,DNA-directed RNA polymerase alpha subunit (EC 2.7.7.6)
Cluster 1596,hypothetical protein
Cluster 1597,"ATPase required for both assembly of type IV secretion complex and secretion of T-DNA complex, VirB11"
Cluster 1598,Channel-forming transporter/cytolysins activator of TpsB family
Cluster 1599,"methyl-accepting chemotaxis protein (tlpB), putative"
Cluster 1600,Selenocysteine-specific translation elongation factor
Cluster 1601,Methionine ABC transporter ATP-binding protein
Cluster 1602,Holliday junction ATP-dependent DNA helicase RuvB (EC 3.6.4.12)
Cluster 1603,ABC transporter ATP-binding protein
Cluster 1604,hypothetical protein
Cluster 1605,hypothetical protein
Cluster 1606,hypothetical protein
Cluster 1607,Translation-disabling ACNase RloC
Cluster 1608,N(6)-L-threonylcarbamoyladenine synthase (EC 2.3.1.234)
Cluster 1609,"Inner membrane protein of type IV secretion of T-DNA complex, VirB6"
Cluster 1610,oxidoreductase family protein
Cluster 1611,hypothetical protein
Cluster 1612,hypothetical protein
Cluster 1613,"Nucleotide sugar dehydratase, putative"
Cluster 1614,hypothetical protein
Cluster 1615,"dTDP-glucose 4,6-dehydratase (EC 4.2.1.46)"
Cluster 1616,NAD-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12)
Cluster 1617,Tripartite tricarboxylate transporter TctA family
Cluster 1618,"Ferric iron ABC transporter, iron-binding protein"
Cluster 1619,"UDP-N-acetylglucosamine 4,6-dehydratase (inverting) (EC 4.2.1.115)"
Cluster 1620,"N,N'-diacetyllegionaminic acid synthase (EC 2.5.1.101)"
Cluster 1621,Putative N-acetylgalactosaminyl-diphosphoundecaprenol glucuronosyltransferase
Cluster 1622,Glucokinase (EC 2.7.1.2)
Cluster 1623,hypothetical protein
Cluster 1624,"Glycosyl transferase, group 2 family protein"
Cluster 1625,hypothetical protein
Cluster 1626,hypothetical protein
Cluster 1627,IncF plasmid conjugative transfer pilus assembly protein TraV
Cluster 1628,"capsular polysaccharide biosynthesis protein, putative"
Cluster 1629,"Type I restriction-modification system, DNA-methyltransferase subunit M (EC 2.1.1.72) / Type I restriction-modification system, specificity subunit S"
Cluster 1630,Outer membrane fibronectin-binding protein
Cluster 1631,NADH-ubiquinone oxidoreductase chain H (EC 1.6.5.3)
Cluster 1632,putative lipoprotein
Cluster 1633,hypothetical protein
Cluster 1634,hypothetical protein
Cluster 1635,hypothetical protein
Cluster 1636,IncF plasmid conjugative transfer pilus assembly protein TraU
Cluster 1637,Putative methyl-accepting chemotaxis protein
Cluster 1638,Phospholipase A1 (EC 3.1.1.32) (EC 3.1.1.4) @ Outer membrane phospholipase A
Cluster 1639,"Tungstate ABC transporter, ATP-binding protein"
Cluster 1640,"Phosphate ABC transporter, substrate-binding protein PstS (TC 3.A.1.7.1)"
Cluster 1641,L-asparaginase (EC 3.5.1.1)
Cluster 1642,Membrane protein
Cluster 1643,Predicted glycosyltransferase involved in capsule biosynthesis
Cluster 1644,Putative periplasmic protein
Cluster 1645,Methyl-accepting chemotaxis signal transduction protein
Cluster 1646,"Transcriptional regulator, LysR family"
Cluster 1647,hypothetical protein
Cluster 1648,"Minor pilin of type IV secretion complex, VirB5"
Cluster 1649,Anaerobic C4-dicarboxylate transporter DcuC
Cluster 1650,hypothetical protein
Cluster 1651,Phenylalanyl-tRNA synthetase alpha chain (EC 6.1.1.20)
Cluster 1652,"GDP-N-acetylglucosamine 4,6-dehydratase [NAD+]"
Cluster 1653,"2-Oxobutyrate oxidase, putative"
Cluster 1654,Enterochelin uptake periplasmic binding protein
Cluster 1655,putative transcriptional regulator
Cluster 1656,hypothetical protein
Cluster 1657,hypothetical protein
Cluster 1658,Two-component system sensor histidine kinase
Cluster 1659,Phosphoribosylformylglycinamidine cyclo-ligase (EC 6.3.3.1)
Cluster 1660,Alanine racemase (EC 5.1.1.1)
Cluster 1661,"Ferric iron ABC transporter, ATP-binding protein"
Cluster 1662,4-hydroxy-2-oxovalerate aldolase (EC 4.1.3.39)
Cluster 1663,"Beta-1,3-glucosyltransferase"
Cluster 1664,hypothetical protein
Cluster 1665,hypothetical protein
Cluster 1666,"CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (EC 2.4.99.-)"
Cluster 1667,"Beta-1,3-galactosyltransferase / Beta-1,4-galactosyltransferase"
Cluster 1668,UDP-glucose 4-epimerase (EC 5.1.3.2)
Cluster 1669,hypothetical protein
Cluster 1670,Probable membrane protein Cj0124c
Cluster 1671,Haemin uptake system permease protein
Cluster 1672,hypothetical protein
Cluster 1673,Phosphate:acyl-ACP acyltransferase PlsX (EC 2.3.1.n2)
Cluster 1674,Transaldolase (EC 2.2.1.2)
Cluster 1675,Predicted glycosyltransferase involved in capsule biosynthesis
Cluster 1676,hypothetical protein
Cluster 1677,Motility accessory factor
Cluster 1678,Magnesium and cobalt transport protein CorA
Cluster 1679,Porphobilinogen synthase (EC 4.2.1.24)
Cluster 1680,Possible RNA methyltransferase aq_898
Cluster 1681,Putative periplasmic protein
Cluster 1682,Dicarboxylate carrier protein
Cluster 1683,Predicted glycosyltransferase involved in capsule biosynthesis
Cluster 1684,hypothetical protein
Cluster 1685,Sulfate adenylyltransferase subunit 1 (EC 2.7.7.4)
Cluster 1686,Putative periplasmic protein
Cluster 1687,Diaminohydroxyphosphoribosylaminopyrimidine deaminase (EC 3.5.4.26) / 5-amino-6-(5-phosphoribosylamino)uracil reductase (EC 1.1.1.193)
Cluster 1688,Capsular polysaccharide synthesis protein
Cluster 1689,hypothetical protein
Cluster 1690,FIG00638667: hypothetical protein
Cluster 1691,Capsular polysaccharide synthesis protein
Cluster 1692,ADP-heptose--lipooligosaccharide heptosyltransferase II
Cluster 1693,Mobile element protein
Cluster 1694,Flagellar hook-length control protein FliK
Cluster 1695,Putative periplasmic protein
Cluster 1696,hypothetical protein
Cluster 1697,"3-oxoacyl-[acyl-carrier-protein] synthase, KASIII (EC 2.3.1.180)"
Cluster 1698,Putative phosphatase
Cluster 1699,Agmatine deiminase (EC 3.5.3.12)
Cluster 1700,"Phage head, major capsid protein E"
Cluster 1701,Phage tail formation protein GpD
Cluster 1702,hypothetical protein
Cluster 1703,[Protein-PII] uridylyltransferase (EC 2.7.7.59) / [Protein-PII]-UMP uridylyl-removing enzyme
Cluster 1704,hypothetical protein
Cluster 1705,hypothetical protein
Cluster 1706,[NiFe] hydrogenase metallocenter assembly protein HypE
Cluster 1707,hypothetical protein
Cluster 1708,"McrBC restriction endonuclease system, McrB subunit, putative"
Cluster 1709,"Beta-1,3-galactosyltransferase / Beta-1,4-galactosyltransferase"
Cluster 1710,Protein translocase subunit SecF
Cluster 1711,Iron-sulfur cluster assembly scaffold protein IscU/NifU-like
Cluster 1712,hypothetical protein
Cluster 1713,Catalase-like heme-binding protein
Cluster 1714,hypothetical protein
Cluster 1715,Mobile element protein
Cluster 1716,Protein translocase subunit SecD
Cluster 1717,"bacteriophage DNA transposition protein A, putative"
Cluster 1718,Mannose-1-phosphate guanylyltransferase (EC 2.7.7.13) / Mannose-6-phosphate isomerase (EC 5.3.1.8)
Cluster 1719,Iron compound ABC uptake transporter permease protein
Cluster 1720,"McrBC restriction endonuclease system, McrB subunit, putative"
Cluster 1721,UDP-glucose 4-epimerase (EC 5.1.3.2)
Cluster 1722,hypothetical protein
Cluster 1723,Motility accessory factor
Cluster 1724,"Signal transduction protein CetA, mediates an energy taxis response"
Cluster 1725,hypothetical protein
Cluster 1726,hypothetical protein
Cluster 1727,DNA polymerase III delta subunit (EC 2.7.7.7)
Cluster 1728,Allophanate hydrolase 2 subunit 2 (EC 3.5.1.54)
Cluster 1729,LSU rRNA pseudouridine(1911/1915/1917) synthase (EC 5.4.99.23)
Cluster 1730,tRNA(Ile)-lysidine synthetase (EC 6.3.4.19)
Cluster 1731,Tripartite tricarboxylate transporter TctC family
Cluster 1732,lipopolysaccharide core biosynthesis protein LpsA
Cluster 1733,hypothetical protein
Cluster 1734,hypothetical protein
Cluster 1735,L-lactate dehydrogenase (EC 1.1.1.27)
Cluster 1736,L-glutamine kinase involved in O-methyl phosphoramidate capsule modification
Cluster 1737,Methyl-accepting chemotaxis signal transduction protein
Cluster 1738,hypothetical protein
Cluster 1739,"GTP 3',8-cyclase (EC 4.1.99.22)"
Cluster 1740,hypothetical protein
Cluster 1741,Alpha-2-macroglobulin
Cluster 1742,4-cresol dehydrogenase [hydroxylating] flavoprotein subunit (EC 1.17.99.1)
Cluster 1743,Putative amino acid activating enzyme (EC 6.3.2.-)
Cluster 1744,hypothetical protein
Cluster 1745,cytosine specific DNA methyltransferase (BSP6IM)
Cluster 1746,Type III restriction-modification system DNA endonuclease res (EC 3.1.21.5)
Cluster 1747,Plasmid replication initiation protein
Cluster 1748,Tripartite tricarboxylate transporter TctA family
Cluster 1749,Motility accessory factor
Cluster 1750,Tryptophanyl-tRNA synthetase (EC 6.1.1.2)
Cluster 1751,"Branched-chain amino acid ABC transporter, permease protein LivH (TC 3.A.1.4.1)"
Cluster 1752,Phospho-N-acetylmuramoyl-pentapeptide-transferase (EC 2.7.8.13)
Cluster 1753,hypothetical protein
Cluster 1754,hypothetical protein
Cluster 1755,Methyl-accepting chemotaxis signal transduction protein
Cluster 1756,hypothetical protein
Cluster 1757,hypothetical protein
Cluster 1758,"probable periplasmic protein Cj0413 , putative"
Cluster 1759,hypothetical protein
Cluster 1760,"Phage protein Mup29, H"
Cluster 1761,Membrane protein
Cluster 1762,Chemotaxis protein CheV (EC 2.7.3.-)
Cluster 1763,hypothetical protein
Cluster 1764,hypothetical protein
Cluster 1765,UDP-glucuronate decarboxylase (EC 4.1.1.35)
Cluster 1766,hypothetical protein
Cluster 1767,Putative periplasmic protein
Cluster 1768,hypothetical protein
Cluster 1769,Motility accessory factor
Cluster 1770,D-arabinose-5-phosphate isomerase (EC 5.3.1.13)
Cluster 1771,ADP-L-glycero-D-manno-heptose-6-epimerase (EC 5.1.3.20)
Cluster 1772,UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase (EC 2.3.1.191)
Cluster 1773,Cell division coordinator CpoB
Cluster 1774,D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)
Cluster 1775,"ATPase required for both assembly of type IV secretion complex and secretion of T-DNA complex, VirB11"
Cluster 1776,Putative periplasmic protein
Cluster 1777,"SAM-dependent methyltransferase, MidA"
Cluster 1778,Cobalt/zinc/cadmium resistance protein CzcD
Cluster 1779,hypothetical protein
Cluster 1780,Integrase-recombinase protein XERCD family
Cluster 1781,hypothetical protein
Cluster 1782,Malonyl CoA-acyl carrier protein transacylase (EC 2.3.1.39)
Cluster 1783,Membrane protein
Cluster 1784,"Uncharacterized membrane protein, YraQ family"
Cluster 1785,Protein containing aminopeptidase domain
Cluster 1786,Cell division coordinator CpoB
Cluster 1787,hypothetical protein
Cluster 1788,"CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (EC 2.4.99.-)"
Cluster 1789,Flagellin
Cluster 1790,Motility accessory factor
Cluster 1791,hypothetical protein
Cluster 1792,"Metal chaperone, involved in Zn homeostasis"
Cluster 1793,hypothetical protein
Cluster 1794,Putative peptide ABC-transport system permease protein
Cluster 1795,hypothetical protein
Cluster 1796,"Outer membrane and periplasm component of type IV secretion of T-DNA complex, has secretin-like domain, VirB9"
Cluster 1797,hypothetical protein
Cluster 1798,Alpha-ketoglutarate permease
Cluster 1799,hypothetical protein
Cluster 1800,hypothetical protein
Cluster 1801,hypothetical protein
Cluster 1802,hypothetical protein
Cluster 1803,"Type I restriction-modification system, restriction subunit R (EC 3.1.21.3)"
Cluster 1804,FIG00470547: hypothetical protein
Cluster 1805,Inner membrane protein YihN
Cluster 1806,"Sulfate adenylyltransferase subunit 1 (EC 2.7.7.4) / Sulfate permease, Trk-type"
Cluster 1807,ATP/GTP-binding protein
Cluster 1808,Thioredoxin reductase (EC 1.8.1.9)
Cluster 1809,hypothetical protein
Cluster 1810,Acetyl-coenzyme A carboxyl transferase alpha chain (EC 6.4.1.2)
Cluster 1811,GDP-L-fucose synthetase (EC 1.1.1.271)
Cluster 1812,Conjugative transfer protein TrbB
Cluster 1813,hypothetical protein
Cluster 1814,TrkA domain protein HP0282
Cluster 1815,hypothetical protein
Cluster 1816,NAD-dependent protein deacetylase of SIR2 family
Cluster 1817,16S rRNA (cytosine(1402)-N(4))-methyltransferase (EC 2.1.1.199)
Cluster 1818,Putative D-2-hydroxyacid dehydrogenase
Cluster 1819,Uncharacterized RNA pseudouridine synthase HP0347
Cluster 1820,Thioredoxin reductase (EC 1.8.1.9)
Cluster 1821,"Beta-1,3-galactosyltransferase / Beta-1,4-galactosyltransferase"
Cluster 1822,hypothetical protein
Cluster 1823,Formyl transferase domain protein
Cluster 1824,"CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (EC 2.4.99.-)"
Cluster 1825,FIG00470547: hypothetical protein
Cluster 1826,Propionate--CoA ligase (EC 6.2.1.17)
Cluster 1827,Ammonium transporter
Cluster 1828,Motility accessory factor
Cluster 1829,"Putative formate dehydrogenase, cytochrome B subunit (EC 1.2.1.2)"
Cluster 1830,Integral membrane protein
Cluster 1831,Tetraacyldisaccharide 4'-kinase (EC 2.7.1.130)
Cluster 1832,D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)
Cluster 1833,4-cresol dehydrogenase [hydroxylating] flavoprotein subunit (EC 1.17.99.1)
Cluster 1834,"GalNAc(5)-diNAcBac-PP-undecaprenol beta-1,3-glucosyltransferase (EC 2.4.1.293)"
Cluster 1835,Ribose-phosphate pyrophosphokinase (EC 2.7.6.1)
Cluster 1836,Probable periplasmic protein Cj0776c
Cluster 1837,Acetylornithine deacetylase type II (EC 3.5.1.16)
Cluster 1838,tRNA-dihydrouridine synthase DusB
Cluster 1839,Porphobilinogen deaminase (EC 2.5.1.61)
Cluster 1840,L-lactate dehydrogenase (EC 1.1.1.27)
Cluster 1841,"Ferrochelatase, protoheme ferro-lyase (EC 4.99.1.1)"
Cluster 1842,hypothetical protein
Cluster 1843,hypothetical protein
Cluster 1844,Ferrous iron transporter FeoB
Cluster 1845,Polysaccharide deacetylase family
Cluster 1846,"Putative type IIS restriction /modification enzyme, N-terminal half"
Cluster 1847,Auxin efflux carrier family protein
Cluster 1848,"Alpha-L-Rha alpha-1,3-L-rhamnosyltransferase (EC 2.4.1.-)"
Cluster 1849,hypothetical protein
Cluster 1850,hypothetical protein
Cluster 1851,Replication initiation ATPase; bacteriophage DNA transposition B protein
Cluster 1852,putative lipoprotein
Cluster 1853,Conjugative transfer protein TrbG
Cluster 1854,hypothetical protein
Cluster 1855,Methyl-accepting chemotaxis signal transduction protein
Cluster 1856,Periplasmic nitrate reductase component NapL
Cluster 1857,Methionyl-tRNA formyltransferase (EC 2.1.2.9)
Cluster 1858,hypothetical protein
Cluster 1859,"PhoX, Predicted phosphatase"
Cluster 1860,Aminoglycoside 2''-phosphotransferase (EC 2.7.1.190) => APH(2'')
Cluster 1861,Methyl-directed repair DNA adenine methylase (EC 2.1.1.72)
Cluster 1862,Aminoglycoside 2''-phosphotransferase (EC 2.7.1.190) => APH(2'')
Cluster 1863,hypothetical protein
Cluster 1864,Methyl-accepting chemotaxis signal transduction protein
Cluster 1865,UDP-glucose 4-epimerase (EC 5.1.3.2)
Cluster 1866,hypothetical protein
Cluster 1867,"ABC transporter, substrate-binding protein (cluster 10, nitrate/sulfonate/bicarbonate)"
Cluster 1868,hygromycin-B-phosphotransferase
Cluster 1869,hypothetical protein
Cluster 1870,hypothetical protein
Cluster 1871,"Oligopeptide transporter, OPT family"
Cluster 1872,"PhoX, Predicted phosphatase"
Cluster 1873,Propionate--CoA ligase (EC 6.2.1.17); Acetyl-CoA synthetase (EC 6.2.1.1)
Cluster 1874,"Phosphate ABC transporter, permease protein PstC (TC 3.A.1.7.1)"
Cluster 1875,Branched-chain amino acid aminotransferase (EC 2.6.1.42)
Cluster 1876,hypothetical protein
Cluster 1877,hypothetical protein
Cluster 1878,hypothetical protein
Cluster 1879,hypothetical protein
Cluster 1880,IncF plasmid conjugative transfer protein TraG
Cluster 1881,Methyl-accepting chemotaxis signal transduction protein
Cluster 1882,hypothetical protein
Cluster 1883,Phage tail sheath monomer GpFI
Cluster 1884,Ornithine carbamoyltransferase (EC 2.1.3.3)
Cluster 1885,hypothetical protein
Cluster 1886,"Predicted L-lactate dehydrogenase, Iron-sulfur cluster-binding subunit YkgF"
Cluster 1887,hypothetical protein
Cluster 1888,Integral membrane protein
Cluster 1889,Biotin carboxylase of acetyl-CoA carboxylase (EC 6.3.4.14)
Cluster 1890,Motility accessory factor
Cluster 1891,Malate dehydrogenase (EC 1.1.1.37)
Cluster 1892,Dihydrodipicolinate synthase family
Cluster 1893,hypothetical protein
Cluster 1894,"Beta-1,3-galactosyltransferase / Beta-1,4-galactosyltransferase"
Cluster 1895,Modification methylase
Cluster 1896,IncF plasmid conjugative transfer protein TraG
Cluster 1897,Methyl-accepting chemotaxis signal transduction protein
Cluster 1898,C4-dicarboxylate transporter
Cluster 1899,hypothetical protein
Cluster 1900,"Multidrug efflux system, inner membrane proton/drug antiporter (RND type) => CmeF"
Cluster 1901,hypothetical protein
Cluster 1902,Uncharacterized protein ImpH/VasB
Cluster 1903,hypothetical protein
Cluster 1904,"Glutamine--fructose-6-phosphate transaminase (isomerizing), isomerase subunit (EC 2.6.1.16)"
Cluster 1905,Methionine ABC transporter permease protein
Cluster 1906,putative lipoprotein
Cluster 1907,"Uncharacterized membrane protein, YraQ family"
Cluster 1908,Putative iron-uptake ABC transport system ATP-binding protein
Cluster 1909,"Glutamine--fructose-6-phosphate transaminase (isomerizing), isomerase subunit (EC 2.6.1.16)"
Cluster 1910,Legionaminic acid biosynthesis protein PtmG
Cluster 1911,hypothetical protein
Cluster 1912,"CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (EC 2.4.99.-)"
Cluster 1913,Flagellin
Cluster 1914,"GDP-2-acetamido-2,6-dideoxy-alpha-D-xylo-hexos-4-ulose aminotransferase [PLP]"
Cluster 1915,Protein translocase subunit SecD
Cluster 1916,"Pseudaminic acid biosynthesis protein PseA, possible Pse5Ac7Ac acetamidino synthase"
Cluster 1917,Murein endolytic transglycosylase MltG
Cluster 1918,Putative Fe-S oxidoreductase
Cluster 1919,"Peptidase, M23/M37 family"
Cluster 1920,hypothetical protein
Cluster 1921,hypothetical protein
Cluster 1922,hypothetical protein
Cluster 1923,hypothetical protein
Cluster 1924,DnaJ-class molecular chaperone CbpA
Cluster 1925,Membrane protein
Cluster 1926,ATP phosphoribosyltransferase (EC 2.4.2.17) => HisGl
Cluster 1927,Cysteine synthase (EC 2.5.1.47)
Cluster 1928,Glycerol-3-phosphate dehydrogenase [NAD(P)+] (EC 1.1.1.94)
Cluster 1929,aminoglycoside 6-adenylyltransferase
Cluster 1930,Na+-driven multidrug efflux pump
Cluster 1931,Flagellin
Cluster 1932,FIG00638667: hypothetical protein
Cluster 1933,hypothetical protein
Cluster 1934,"transporter, putative"
Cluster 1935,Phage recombination protein Bet
Cluster 1936,Motility accessory factor
Cluster 1937,Putative amino-acid transport protein
Cluster 1938,Protein containing aminopeptidase domain
Cluster 1939,Sulfate adenylyltransferase subunit 2 (EC 2.7.7.4)
Cluster 1940,4-hydroxy-tetrahydrodipicolinate synthase (EC 4.3.3.7)
Cluster 1941,"ABC transporter, substrate-binding protein (cluster 9, phospholipid)"
Cluster 1942,protease IV (PspA)
Cluster 1943,Inner membrane protein YihN
Cluster 1944,hypothetical protein
Cluster 1945,Predicted signal transduction protein
Cluster 1946,hypothetical protein
Cluster 1947,Capsular polysaccharide biosynthesis heptosyltransferase HddD
Cluster 1948,hypothetical protein
Cluster 1949,hypothetical protein
Cluster 1950,Protein-methionine-sulfoxide reductase catalytic subunit MsrP
Cluster 1951,All-trans-hexaprenyl-diphosphate synthase (EC 2.5.1.33)
Cluster 1952,tRNA (guanine(46)-N(7))-methyltransferase (EC 2.1.1.33)
Cluster 1953,"Inner membrane protein forms channel for type IV secretion of T-DNA complex, VirB3 / ATPase required for both assembly of type IV secretion complex and secretion of T-DNA complex, VirB4"
Cluster 1954,hypothetical protein
Cluster 1955,"Multidrug resistance transporter, Bcr/CflA family"
Cluster 1956,"Transcriptional regulator, AraC family"
Cluster 1957,CRISPR-associated protein Cas1
Cluster 1958,FIG00638667: hypothetical protein
Cluster 1959,Flagellin
Cluster 1960,Membrane protein
Cluster 1961,Lipid A biosynthesis lauroyl acyltransferase (EC 2.3.1.241)
Cluster 1962,Two-component system sensor histidine kinase
Cluster 1963,Propionate--CoA ligase (EC 6.2.1.17)
Cluster 1964,Epoxyqueuosine reductase (EC 1.17.99.6) QueH / hypothetical domain
Cluster 1965,Phage baseplate assembly protein GpJ
Cluster 1966,hypothetical protein
Cluster 1967,Ferrous-iron efflux pump FieF
Cluster 1968,Possible two-component regulator
Cluster 1969,hypothetical protein
Cluster 1970,Protein hydE
Cluster 1971,Glucose-1-phosphate thymidylyltransferase (EC 2.7.7.24)
Cluster 1972,Penicillin-insensitive transglycosylase (EC 2.4.2.-) & transpeptidase PBP-1C
Cluster 1973,Flagellar basal-body rod modification protein FlgD
Cluster 1974,Motility accessory factor
Cluster 1975,Methyl-accepting chemotaxis signal transduction protein
Cluster 1976,ATP/GTP-binding protein
Cluster 1977,Molybdenum ABC transporter ATP-binding protein ModC
Cluster 1978,ATP synthase gamma chain (EC 3.6.3.14)
Cluster 1979,Zinc transporter ZupT
Cluster 1980,Menaquinone via futalosine polyprenyltransferase (MenA homolog)
Cluster 1981,UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase (EC 3.5.1.108)
Cluster 1982,hypothetical protein
Cluster 1983,hypothetical protein
Cluster 1984,hypothetical protein
Cluster 1985,hypothetical protein
Cluster 1986,Aspartate carbamoyltransferase (EC 2.1.3.2)
Cluster 1987,Polyphosphate kinase 2 (EC 2.7.4.1)
Cluster 1988,Homoserine O-succinyltransferase (EC 2.3.1.46)
Cluster 1989,Putative polysaccharide deacetylase
Cluster 1990,Hypothetical protein pVir0008
Cluster 1991,hypothetical protein
Cluster 1992,unknown protein encoded by bacteriophage BP-933W
Cluster 1993,dTDP-4-dehydrorhamnose reductase (EC 1.1.1.133)
Cluster 1994,"Zinc ABC transporter, substrate-binding protein ZnuA"
Cluster 1995,Motility accessory factor
Cluster 1996,Glucose-1-phosphate thymidylyltransferase (EC 2.7.7.24)
Cluster 1997,Homoserine kinase (EC 2.7.1.39)
Cluster 1998,Predicted hydrolase of the alpha/beta superfamily
Cluster 1999,CDP-abequose synthase
Cluster 2000,aminoglycoside 6-adenylyltransferase
Cluster 2001,S-adenosylmethionine synthetase (EC 2.5.1.6)
Cluster 2002,"PhoX, Predicted phosphatase"
Cluster 2003,aminoglycoside 6-adenylyltransferase
Cluster 2004,hypothetical protein
Cluster 2005,hypothetical protein
Cluster 2006,Motility accessory factor
Cluster 2007,hypothetical protein
Cluster 2008,NAD-dependent epimerase/dehydratase
Cluster 2009,GTP-binding protein Era
Cluster 2010,NOL1/NOP2/sun family protein
Cluster 2011,Methylisocitrate lyase (EC 4.1.3.30)
Cluster 2012,tRNA ho5U(34) carboxymethyltransferase
Cluster 2013,Phage baseplate assembly protein GpJ
Cluster 2014,Filamentous haemagglutinin domain protein
Cluster 2015,hypothetical protein
Cluster 2016,Putative transporter
Cluster 2017,hypothetical protein
Cluster 2018,"Beta-1,3-galactosyltransferase / Beta-1,4-galactosyltransferase"
Cluster 2019,CDP-abequose synthase
Cluster 2020,Putative large exoprotein involved in heme utilization or adhesion of ShlA/HecA/FhaA family
Cluster 2021,hypothetical protein
Cluster 2022,hypothetical protein
Cluster 2023,N-carbamoylputrescine amidase (EC 3.5.1.53) @ Aliphatic amidase AmiE (EC 3.5.1.4)
Cluster 2024,hypothetical protein
Cluster 2025,Predicted dehydrogenases and related proteins
Cluster 2026,Motility accessory factor
Cluster 2027,Legionaminic acid biosynthesis protein PtmG
Cluster 2028,"Fe2+ ABC transporter, permease protein 1"
Cluster 2029,tRNA dimethylallyltransferase (EC 2.5.1.75)
Cluster 2030,Succinyl-CoA ligase [ADP-forming] alpha chain (EC 6.2.1.5)
Cluster 2031,"pyridoxal phosphate-dependent deaminase, putative"
Cluster 2032,hypothetical protein
Cluster 2033,"MmgE/PrpD family protein, putative"
Cluster 2034,hypothetical protein
Cluster 2035,putative anion permease
Cluster 2036,Motility accessory factor
Cluster 2037,Anaerobic C4-dicarboxylate transporter DcuA
Cluster 2038,Flagellar synthesis regulator FleN
Cluster 2039,Signal recognition particle receptor FtsY
Cluster 2040,"2-keto-4-pentenoate hydratase/2-oxohepta-3-ene-1,7-dioic acid hydratase (catechol pathway)"
Cluster 2041,"Type I restriction-modification system, DNA-methyltransferase subunit M (EC 2.1.1.72)"
Cluster 2042,hypothetical protein
Cluster 2043,"Minor pilin of type IV secretion complex, VirB5"
Cluster 2044,Aminoglycoside 6-nucleotidyltransferase (EC 2.7.7.-) => ANT(6)-I
Cluster 2045,Ferrous iron transporter FeoB
Cluster 2046,Flagellar hook-length control protein FliK
Cluster 2047,Motility accessory factor
Cluster 2048,Methyl-accepting chemotaxis signal transduction protein
Cluster 2049,"Transcriptional regulator, YafY family"
Cluster 2050,"conserved hypothetical protein, with TPR repeat"
Cluster 2051,Methyltransferase
Cluster 2052,hypothetical protein
Cluster 2053,Cytochrome c oxidase (cbb3-type) subunit CcoP (EC 1.9.3.1)
Cluster 2054,Glycyl-tRNA synthetase alpha chain (EC 6.1.1.14)
Cluster 2055,"1,4-dihydroxy-6-naphtoate synthase"
Cluster 2056,Predicted signal transduction protein
Cluster 2057,1-deoxy-D-xylulose 5-phosphate synthase (EC 2.2.1.7)
Cluster 2058,"Zinc ABC transporter, substrate-binding protein ZnuA"
Cluster 2059,Permease of the drug/metabolite transporter (DMT) superfamily
Cluster 2060,NAD kinase (EC 2.7.1.23)
