gene_representative,pan_gene_class,product_name,frequency
562.22433.peg.3461,unique,DNA-cytosine methyltransferase (EC 2.1.1.37)_8,114
562.22435.peg.4245,unique,Cellulose synthase operon protein C_6,76
562.22458.peg.3625,unique,ABC transporter ATP-binding protein YddA_1,37
562.22467.peg.3689,accessory,1-deoxy-D-xylulose 5-phosphate reductoisomerase (EC 1.1.1.267)_2,1906
562.22490.peg.263,unique,CRISPR-associated helicase Cas3_5,5
562.22510.peg.575,unique,Putative multidrug resistance outer membrane protein MdtQ_4,29
562.22603.peg.139,core,Multidrug resistance transporter => Bicyclomycin resistance protein Bcr-1_2,1964
562.22607.peg.5014,unique,"Type I restriction-modification system, restriction subunit R (EC 3.1.21.3)_26",7
562.22618.peg.214,core,2-nitroimidazole transporter NimT_6,1955
562.22677.peg.3494,unique,Phage protein_246,8
562.22769.peg.3627,unique,"Tricarballylate utilization protein, TcuB_1",15
562.22776.peg.561,accessory,2-polyprenyl-6-methoxyphenol hydroxylase_3,199
562.22843.peg.3581,unique,Phage integrase_104,61
562.22892.peg.1826,unique,Mobile element protein_482,32
562.22947.peg.5209,accessory,Inner membrane protein YeeR_14,444
562.23109.peg.5471,unique,"Phage tail tip, host specificity protein J_68",77
562.23232.peg.1508,unique,"Phage integrase, Phage P4-associated_14",82
562.31460.peg.119,unique,gamma-aminobutyrate (GABA) permease_8,5
562.42646.peg.4573,accessory,Uncharacterized glycosyl hyrdrolase YieL_14,1546
562.42818.peg.2153,core,Glycerate-2-kinase (EC 2.7.1.165)_4,1968
562.45395.peg.3785,unique,IS1 protein InsA_11,28
562.12959.peg.3621,core,Tryptophan synthase beta chain (EC 4.2.1.20)_1,1970
562.12959.peg.2292,core,Putative NAGC-like transcriptional regulator_1,1953
562.12959.peg.4406,accessory,TPR domain protein_1,440
562.12959.peg.1770,accessory,Possible H+-antiporter clustered with aerobactin genes_1,1248
562.12962.peg.1543,unique,Purine ribonucleoside efflux pump NepI_2,5
562.16324.peg.466,unique,integrase_1,13
562.16324.peg.2496,unique,Phage tail sheath monomer GpFI_3,9
562.16326.peg.921,unique,"Type I restriction-modification system, specificity subunit S_13",30
562.19184.peg.2491,accessory,Uncharacterized MFS-type transporter_41,253
562.22431.peg.4462,accessory,"Metal chaperone, involved in Zn homeostasis_1",335
562.22436.peg.4877,unique,3-hydroxybenzoate 6-monooxygenase (EC 1.14.13.24)_1,86
562.22436.peg.4815,unique,Uncharacterized MFS-type transporter_45,54
562.22514.peg.1326,unique,Putative inner membrane protein_25,38
562.22677.peg.3404,unique,Integrase_72,68
562.22707.peg.4385,unique,L-carnitine/gamma-butyrobetaine antiporter_2,9
562.23087.peg.3023,unique,Transcriptional activator of cad operon_11,36
562.23385.peg.5077,unique,Protein RhsD_77,31
562.23916.peg.798,unique,FhuE receptor precursor_19,5
562.28565.peg.3536,accessory,UDP-glucose 6-dehydrogenase (EC 1.1.1.22)_10,331
562.42639.peg.2873,accessory,"Sucrose specific transcriptional regulator CscR, LacI family_4",660
562.45401.peg.1964,unique,Phage tail formation protein GpD_65,97
562.7678.peg.5067,unique,Phage capsid and scaffold_26,8
562.12959.peg.4104,core,Aspartate aminotransferase (EC 2.6.1.1)_1,1970
562.12959.peg.131,accessory,DNA-cytosine methyltransferase (EC 2.1.1.37)_1,509
562.12959.peg.943,core,L-lactate dehydrogenase_1,1970
562.12959.peg.768,core,"Leucine-specific ABC transporter, substrate-binding protein LivK (TC 3.A.1.4.1)_1",1964
562.16325.peg.4537,unique,"Phage integrase, Phage P4-associated_2",27
562.17621.peg.3366,unique,"Glycosyl transferase, group 2 family_1",58
562.19184.peg.3339,unique,Integrase_15,21
562.19186.peg.1148,unique,Phage integrase_18,105
562.22495.peg.3519,unique,Putative uncharacterized membrane protein YdeT_1,150
562.22511.peg.722,accessory,Type III secretion protein EprH_2,584
562.22511.peg.3563,unique,"Phage integrase, Phage P4-associated_4",43
562.22581.peg.5070,unique,Putative phosphoethanolamine transferase YjgX_16,137
562.22724.peg.4466,unique,"Inner membrane protein of type IV secretion of T-DNA complex, TonB-like, VirB10_11",5
562.22764.peg.2741,unique,"Type I restriction-modification system, specificity subunit S_87",8
562.22901.peg.3917,unique,Arylsulfatase (EC 3.1.6.1)_15,7
562.23016.peg.368,unique,Transcriptional regulatory protein RtcR_5,6
562.23900.peg.3532,accessory,Phage integrase_169,1186
562.23935.peg.4965,unique,"Multidrug efflux system EmrKY-TolC, inner-membrane proton/drug antiporter EmrY (MFS type)_13",140
562.42821.peg.4190,core,Glutamate 5-kinase (EC 2.7.2.11) / RNA-binding C-terminal domain PUA_1,1970
562.45846.peg.1171,unique,Ribosomal protein L3 N(5)-glutamine methyltransferase (EC 2.1.1.298)_4,6
562.45846.peg.4432,accessory,Uncharacterized protein YhaC_17,703
562.7659.peg.930,accessory,Inner membrane protein YjgN_25,841
562.7697.peg.2472,unique,Maltodextrin glucosidase (EC 3.2.1.20)_10,11
562.7758.peg.5141,unique,"Phage head, head-tail preconnector protease C / Phage head, scaffolding domain Nu3_84",128
562.12959.peg.2432,core,Ethanolamine utilization protein EutG_1,1954
562.22453.peg.4875,unique,Putative uncharacterized protein YagJ_1,5
562.22463.peg.4079,accessory,Macrolide-specific efflux protein MacA_3,289
562.22538.peg.2395,unique,TolA protein_7,50
562.22581.peg.1818,unique,Putative transport protein_11,14
562.22607.peg.3458,unique,UDP-N-acetylglucosamine 2-epimerase (EC 5.1.3.14)_8,7
562.22633.peg.4553,unique,Glyoxylate carboligase (EC 4.1.1.47)_7,43
562.22872.peg.4648,unique,Mobile element protein_470,21
562.22984.peg.103,unique,Diguanylate cyclase (EC 2.7.7.65) => DgcT_5,16
562.23059.peg.4911,unique,Putative phosphoethanolamine transferase YjgX_28,38
562.23321.peg.4776,core,"D-xylose ABC transporter, permease protein XylH_9",1953
562.23603.peg.1387,accessory,Acetyl-CoA acetyltransferase (EC 2.3.1.9)_7,1779
562.23653.peg.3228,accessory,Dihydrolipoamide succinyltransferase component (E2) of 2-oxoglutarate dehydrogenase complex (EC 2.3.1.61)_3,209
562.23916.peg.2290,unique,T6SS AAA+ chaperone ClpV (TssH)_29,19
562.29006.peg.3059,unique,DNA ligase (NAD(+)) (EC 6.5.1.2)_15,6
562.12959.peg.82,core,Mannonate dehydratase (EC 4.2.1.8)_1,1964
562.12959.peg.653,accessory,Translation elongation factor Tu_1,1471
562.12959.peg.1023,core,Multidrug efflux pump EmrD (of MFS type)_1,1967
562.12960.peg.4020,accessory,Sugar efflux transporter C_1,665
562.22434.peg.2856,unique,Uncharacterized MFS-type transporter STM2812_1,62
562.22458.peg.3913,core,Epoxyqueuosine reductase (EC 1.17.99.6) QueG_1,1970
562.22500.peg.4976,unique,"Tetracycline resistance, MFS efflux pump => Tet(D)_1",38
562.22520.peg.5317,unique,IncF plasmid conjugative transfer protein TraG_10,7
562.22525.peg.3498,unique,Lactose permease_9,46
562.22559.peg.744,unique,Retron-type RNA-directed DNA polymerase (EC 2.7.7.49)_30,12
562.22653.peg.4222,unique,FAD-dependent oxidoreductase_1,11
562.22950.peg.3692,unique,Mannosylglycerate hydrolase (EC 3.2.1.170)_8,8
562.23245.peg.4407,accessory,colicin/pyosin nuclease family protein_5,328
562.23507.peg.3900,core,Spermidine/putrescine import ABC transporter ATP-binding protein PotA (TC 3.A.1.11.1)_2,1969
562.23728.peg.4831,unique,Uncharacterized protein YfjI_23,7
562.42647.peg.2664,unique,Phage tail fiber protein GpH_209,5
562.42736.peg.5071,accessory,VgrG protein_180,258
562.7642.peg.3818,unique,"L-arabinose ABC transporter, ATP-binding protein AraG_8",5
562.7726.peg.5131,unique,"Phage head, head-tail preconnector protease C / Phage head, scaffolding domain Nu3_79",47
562.7749.peg.4744,unique,"Phage tail tip, host specificity protein J_296",90
562.7758.peg.3339,unique,"AAA+ ATPase superfamily protein YifB/ComM, associated with DNA recombination_12",22
562.7791.peg.5169,unique,Phage tail fiber protein_184,10
562.12959.peg.2699,core,Sugar efflux transporter B_1,1960
562.12960.peg.2511,core,"Ribonucleotide reductase of class Ia (aerobic), beta subunit (EC 1.17.4.1)_2",1970
562.12960.peg.5009,unique,Chromosome (plasmid) partitioning protein ParB_2,21
562.12960.peg.415,accessory,Cyanate transport protein CynX_1,741
562.13502.peg.88,unique,Putative peptidase_1,9
562.16324.peg.4647,unique,UDP-N-acetylglucosamine 2-epimerase (EC 5.1.3.14)_1,6
562.17722.peg.2949,core,"Fructose-1,6-bisphosphatase, type I (EC 3.1.3.11)_1",1970
562.22444.peg.3267,unique,Phage integrase_31,16
562.22453.peg.3855,unique,Putative peptidase_2,9
562.22482.peg.3826,unique,"N(2)-citryl-N(6)-acetyl-N(6)-hydroxylysine synthase (EC 6.3.2.38), aerobactin biosynthesis protein IucA_3",20
562.22485.peg.1022,accessory,"Transcriptional regulator, LacI family_9",289
562.22757.peg.5054,unique,Outer membrane usher protein HtrE_14,11
562.22849.peg.1274,accessory,Outer membrane porin OmpN_6,1922
562.22870.peg.4598,unique,VgrG protein_80,76
562.23331.peg.3130,unique,Phage integrase_143,5
562.23511.peg.4745,unique,Propionyl-CoA:succinyl-CoA transferase_4,15
562.42873.peg.5067,unique,"Phage terminase, large subunit Mup28, E_28",6
562.12959.peg.3127,core,Formate-dependent phosphoribosylglycinamide formyltransferase_1,1970
562.12959.peg.1952,accessory,2-polyprenyl-6-methoxyphenol hydroxylase_1,1767
562.12959.peg.2543,core,UPF0226 protein YfcJ_1,1963
562.12959.peg.70,accessory,Uncharacterized integral membrane protein YjiJ_1,1936
562.12959.peg.1641,core,Ni/Fe-hydrogenase 2 b-type cytochrome subunit HybB_1,1965
562.12959.peg.1027,accessory,Uncharacterized sulfatase YidJ_2,339
562.12959.peg.2325,core,Outer membrane beta-barrel assembly protein BamB_1,1970
562.12959.peg.905,core,Xylose activator XylR (AraC family)_1,1962
562.12959.peg.1684,accessory,General secretion pathway protein L_2,1664
562.12961.peg.2021,core,GTP-binding protein Obg_1,1970
562.22439.peg.3783,accessory,2-methylcitrate synthase (EC 2.3.3.5)_1,1928
562.22510.peg.4945,unique,Colicin I receptor_8,29
562.22512.peg.3517,unique,Putative periplasmic protein_7,7
562.22513.peg.2985,unique,Phage EaA protein_18,5
562.22555.peg.2360,unique,"D-xylose ABC transporter, ATP-binding protein XylG_6",8
562.22664.peg.2291,unique,Inner-membrane proton/drug antiporter (MSF type) of tripartite multidrug efflux system_6,8
562.22685.peg.3593,unique,Inner membrane protein YbhQ_6,7
562.22701.peg.3710,unique,Phage integrase_85,9
562.22719.peg.4834,core,Glutamate--cysteine ligase-like protein YbdK_4,1961
562.22721.peg.4710,unique,YeeC-like protein_1,7
562.22770.peg.2591,unique,Phage integrase_91,8
562.42818.peg.1979,core,"Trimethylamine-N-oxide reductase associated c-type cytochrome, TorC_2",1961
562.7710.peg.4960,unique,Phage integrase_221,6
562.12959.peg.4561,core,Isochorismate synthase (EC 5.4.4.2) @ Isochorismate synthase (EC 5.4.4.2) [enterobactin] siderophore @ Isochorismate synthase (EC 5.4.4.2) of siderophore biosynthesis_1,1965
562.12959.peg.1056,core,Multidrug efflux pump MdtL (of MFS type)_1,1963
562.12959.peg.2518,accessory,"Phage integrase, Phage P4-associated_1",299
562.12959.peg.4493,core,"2-polyprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase_1",1967
562.19184.peg.1887,accessory,"Type I secretion membrane fusion protein, HlyD family @ Type I secretion system, membrane fusion protein LapC_1",302
562.22433.peg.324,accessory,UDP-N-acetylglucosamine 2-epimerase (EC 5.1.3.14)_3,362
562.22442.peg.5101,unique,Exodeoxyribonuclease VIII (EC 3.1.11.-)_7,93
562.22467.peg.4162,unique,"Type I restriction-modification system, specificity subunit S_34",6
562.22495.peg.5291,accessory,Putative aminotransferase_1,408
562.22520.peg.2690,core,Lipopolysaccharide assembly protein LapB_1,1970
562.22559.peg.5294,unique,"Phage tail tip, host specificity protein J_15",6
562.22701.peg.3825,unique,YVTN beta-propeller repeat-containing protein_10,13
562.22701.peg.27,unique,"Autoinducer 2 (AI-2) ABC transporter, dimeric ATP-binding protein_6",7
562.22838.peg.1501,core,Carbamoyl-phosphate synthase small chain (EC 6.3.5.5)_1,1970
562.22990.peg.2419,unique,"Phage integrase, Phage P4-associated_12",16
562.23173.peg.3692,unique,Phage integrase_137,8
562.23223.peg.1146,core,Inner membrane transport protein YdhP_5,1962
562.23299.peg.4932,unique,"Phage tail fiber, side tail fiber protein Stf_239",55
562.23555.peg.4316,accessory,Transposase InsI for insertion sequence element IS30_9,946
562.23581.peg.5013,unique,Phage long tail fiber_17,24
562.23608.peg.4156,unique,Phage integrase_156,5
562.23895.peg.4758,accessory,Chromosome (plasmid) partitioning protein ParA_17,897
562.28998.peg.359,unique,"Phage tail fiber, side tail fiber protein Stf_336",5
562.31450.peg.288,unique,Invasin_64,6
562.45396.peg.2991,unique,Methionyl-tRNA synthetase (EC 6.1.1.10)_15,12
562.7743.peg.5021,unique,"Phage replication protein GpA, endonuclease_94",5
562.12959.peg.1658,accessory,Serine palmitoyltransferase (EC 2.3.1.50)_1,1821
562.12959.peg.74,core,Isoaspartyl aminopeptidase (EC 3.4.19.5) @ Asp-X dipeptidase_2,1962
562.12960.peg.2970,core,"Multidrug efflux system EmrAB-OMF, membrane fusion component EmrA_1",1961
562.12961.peg.1880,accessory,Phage tail sheath monomer GpFI_1,383
562.16326.peg.4002,unique,Cystathionine beta-lyase (EC 4.4.1.8)_2,7
562.22432.peg.5338,accessory,Transposase_55,399
562.22433.peg.2042,accessory,Phage integrase_25,187
562.22435.peg.4408,unique,Glycosaminoglycan attachment site_2,98
562.22439.peg.4673,accessory,Oligogalacturonate lyase (EC 4.2.2.6)_2,384
562.22482.peg.251,unique,Mannitol-1-phosphate 5-dehydrogenase (EC 1.1.1.17)_2,27
562.22520.peg.847,unique,Phage major capsid protein_6,43
562.22540.peg.3421,unique,Membrane protein FdrA_5,8
562.22548.peg.4567,accessory,Phage tail formation protein GpD_10,500
562.22715.peg.4295,unique,Multidrug resistance outer membrane protein MdtP_1,10
562.23163.peg.2342,unique,"Protein YjgL, putative CCAAT-box DNA binding protein subunit B_21",148
562.23302.peg.2275,unique,Anticodon nuclease_3,16
562.28838.peg.4381,unique,Glycosaminoglycan attachment site_5,6
562.42668.peg.3245,accessory,Flagellar biosynthesis protein FlhB_6,577
562.42673.peg.4783,accessory,GALNS arylsulfatase regulator (Fe-S oxidoreductase)_9,1935
562.7567.peg.4272,unique,"H repeat-associated protein, YhhI family_135",5
562.7572.peg.2148,core,UDP-N-acetylglucosamine 2-epimerase (EC 5.1.3.14)_24,1968
562.7577.peg.2585,unique,Arylsulfatase (EC 3.1.6.1)_28,6
562.7746.peg.5045,unique,General secretion pathway protein L_17,25
562.12959.peg.529,accessory,Succinyl-CoA ligase [ADP-forming] beta chain (EC 6.2.1.5)_1,1199
562.17621.peg.17,unique,Diguanylate cyclase (EC 2.7.7.65) => DgcE_2,5
562.19186.peg.161,accessory,3-oxoacyl-[ACP] synthase (EC 2.3.1.41) FabV like_1,446
562.22431.peg.1591,unique,"D-allose ABC transporter, ATP-binding protein_2",9
562.22451.peg.5023,unique,Chromosome (plasmid) partitioning protein ParA_8,30
562.22464.peg.319,unique,UDP-glucose 6-dehydrogenase (EC 1.1.1.22)_2,58
562.22490.peg.4631,unique,Phage tail formation protein GpD_5,19
562.22501.peg.4598,unique,Glycosyltransferase_13,6
562.22514.peg.3663,unique,DNA polymerase III alpha subunit (EC 2.7.7.7)_3,7
562.22671.peg.3959,unique,Phage tail formation protein GpD_15,24
562.22722.peg.5326,unique,"Phage head, terminase DNA packaging protein A_22",5
562.22802.peg.5206,unique,"Phage tail tip, host specificity protein J_44",37
562.22834.peg.53,unique,Mg-chelatase subunit ChlD_1,7
562.23022.peg.1035,accessory,Eha protein_1,511
562.23216.peg.4452,unique,IncF plasmid conjugative transfer protein TraN_14,5
562.23281.peg.3917,unique,"Melibiose carrier protein, Na+/melibiose symporter_9",36
562.23290.peg.1320,accessory,Outer membrane usher protein YehB_21,264
562.42818.peg.3461,core,"ABC transporter, substrate-binding protein YnjB_8",1960
562.42857.peg.2025,core,D-alanyl-D-alanine-carboxypeptidase/endopeptidase AmpH_3,1968
562.7581.peg.4769,unique,Inner membrane metabolite transport protein YgcS_9,8
562.7582.peg.4716,unique,Exodeoxyribonuclease VIII (EC 3.1.11.-)_87,11
562.12959.peg.1319,accessory,Metal-dependent amidase/aminoacylase/carboxypeptidase_1,1216
562.12959.peg.2839,accessory,UDP-glucose 6-dehydrogenase (EC 1.1.1.22)_1,1861
562.12959.peg.2856,core,D-alanyl-D-alanine carboxypeptidase (EC 3.4.16.4)_2,1952
562.12959.peg.4411,core,Succinyl-CoA ligase [ADP-forming] beta chain (EC 6.2.1.5)_2,1969
562.12961.peg.4202,core,tRNA-specific 2-thiouridylase MnmA (EC 2.8.1.13)_1,1970
562.12961.peg.4447,core,Putrescine transport ATP-binding protein PotG (TC 3.A.1.11.2)_1,1970
562.12961.peg.2445,core,23S rRNA (adenine(2503)-C(2))-methyltransferase @ tRNA (adenine(37)-C(2))-methyltransferase (EC 2.1.1.192)_1,1970
562.13502.peg.612,core,Class C beta-lactamase (EC 3.5.2.6) => BlaEC family_1,1950
562.22445.peg.4474,unique,O-antigen polymerase_1,52
562.22473.peg.3096,unique,UDP-glucose 6-dehydrogenase (EC 1.1.1.22)_3,26
562.22484.peg.744,unique,Phage major capsid protein_5,5
562.22523.peg.5059,unique,"TonB-dependent hemin, ferrichrome receptor_3",22
562.22554.peg.4687,unique,UDP-glucose 6-dehydrogenase (EC 1.1.1.22)_5,102
562.22584.peg.4970,unique,Transposase_142,10
562.22640.peg.4604,unique,Glycosyltransferase_15,6
562.22760.peg.3419,unique,"Type I restriction-modification system, specificity subunit S_86",9
562.22769.peg.4394,unique,"Phage virion morphogenesis protein Mup30, F_4",17
562.23043.peg.2297,unique,Co-activator of prophage gene expression IbrA_11,6
562.23867.peg.4994,accessory,"Phage head, portal protein B_78",200
562.42818.peg.1055,core,N-acetylglucosamine-6-phosphate deacetylase (EC 3.5.1.25)_2,1970
562.7567.peg.3220,unique,CDP-4-dehydro-6-deoxy-D-glucose 3-dehydratase (EC 4.2.1.-)_1,9
562.12959.peg.645,accessory,General secretion pathway protein L_1,1435
562.12959.peg.293,core,Putative acid--amine ligase YjfC_1,1952
562.12959.peg.3584,accessory,"Multidrug resistance transporter, Bcr/CflA family_1",1377
562.12959.peg.1199,core,3-ketoacyl-CoA thiolase (EC 2.3.1.16)_1,1968
562.12959.peg.690,core,Uncharacterized alanine racemase domain-containing protein YhfX_1,1954
562.12959.peg.2503,core,"Multidrug efflux system EmrKY-TolC, membrane fusion component EmrK_1",1951
562.12959.peg.1628,core,NADPH-dependent broad range aldehyde dehydrogenase YqhD_1,1967
562.12959.peg.1934,core,Phosphoglycerate kinase (EC 2.7.2.3)_1,1970
562.12961.peg.2589,unique,major capsid protein_1,11
562.13502.peg.177,unique,Predicted transcriptional regulators_1,8
562.13502.peg.854,unique,Putative inner membrane protein_11,5
562.13502.peg.3328,accessory,Phage integrase_5,469
562.17620.peg.3605,core,Aminomethyltransferase (glycine cleavage system T protein) (EC 2.1.2.10)_1,1970
562.17621.peg.2121,accessory,Phage tail formation protein GpD_3,425
562.17721.peg.1573,unique,ATP-dependent DNA helicase_1,15
562.20499.peg.1630,unique,"Outer membrane porin, OmpS_5",36
562.22607.peg.4801,accessory,"Multidrug efflux system AcrEF-TolC, membrane fusion component AcrE_5",1939
562.22802.peg.4033,unique,Hemolysin_4,10
562.22827.peg.4880,unique,Putative large exoprotein involved in heme utilization or adhesion of ShlA/HecA/FhaA family_71,72
562.22947.peg.4916,accessory,rha protein_11,175
562.22947.peg.5069,unique,Outer membrane porin OmpD_10,8
562.23787.peg.4477,accessory,S-methyl-5-thioribose-1-phosphate isomerase (EC 5.3.1.23)_5,451
562.42639.peg.4732,unique,Leader peptidase (Prepilin peptidase) (EC 3.4.23.43) / N-methyltransferase (EC 2.1.1.-)_23,64
562.45848.peg.3366,unique,"Glycosyl transferase, group 1_11",6
562.7567.peg.4079,accessory,Phage integrase_199,371
562.7575.peg.114,unique,"UDP-N,N'-diacetylbacillosamine 2-epimerase (hydrolyzing) (EC 3.2.1.184)_2",5
562.12959.peg.1588,core,Putative acid--amine ligase YgiC_1,1970
562.12959.peg.1294,core,Cystathionine gamma-synthase (EC 2.5.1.48)_1,1970
562.12959.peg.2247,core,Chorismate mutase I (EC 5.4.99.5) / Prephenate dehydratase (EC 4.2.1.51)_1,1970
562.12961.peg.4249,core,Phosphate:acyl-ACP acyltransferase PlsX (EC 2.3.1.n2)_1,1970
562.16325.peg.4790,unique,"Inner membrane protein of type IV secretion of T-DNA complex, TonB-like, VirB10_1",58
562.22449.peg.1342,accessory,Putative polysaccharide export protein YccZ precursor_2,499
562.22461.peg.2713,unique,Shufflon-specific DNA recombinase_1,146
562.22501.peg.4600,unique,Glycosyltransferase_12,5
562.22556.peg.3401,unique,putative aminomethyltransferase_1,16
562.22580.peg.4773,unique,Phage integrase_70,32
562.22593.peg.5030,unique,Putative glycosyltransferase_4,20
562.22950.peg.2038,core,Oxygen-independent coproporphyrinogen-III oxidase-like protein YggW_1,1970
562.23045.peg.2657,unique,Bacteriophage N4 adsorption protein A_9,9
562.23314.peg.227,unique,Iron-sulfur cluster assembly protein SufB_7,11
562.23433.peg.2744,unique,Putative prophage CPS-53 integrase_10,6
562.23608.peg.4713,core,YfdE protein_3,1953
562.23675.peg.3494,unique,"Lipopolysaccharide 1,2-N-acetylglucosaminetransferase (EC 2.4.1.56)_4",110
562.23835.peg.4205,unique,"Phage head, portal protein B_76",5
562.28810.peg.4107,unique,Alkaline phosphatase (EC 3.1.3.1)_6,5
562.42732.peg.4502,unique,Protein RhsD_138,13
562.42818.peg.4150,core,Glucans biosynthesis protein C (EC 2.1.-.-)_4,1963
562.45404.peg.558,unique,Glutamate decarboxylase (EC 4.1.1.15)_47,25
562.7578.peg.4329,unique,Inner membrane protein YqcE_12,75
562.7784.peg.1717,core,"N-methyl-L-tryptophan oxidase, SolA_7",1960
562.12959.peg.838,core,"Multidrug efflux system MdtEF-TolC, membrane fusion component MdtE_1",1959
562.12959.peg.2717,core,Uncharacterized protein YeiB_1,1964
562.12959.peg.2611,core,UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase (EC 2.6.1.87)_1,1965
562.12959.peg.2740,core,Osmoprotectant ABC transporter permease protein YehY_1,1962
562.12959.peg.4479,accessory,Alcohol dehydrogenase (EC 1.1.1.1)_3,1194
562.13502.peg.2333,unique,Tellurium resistance protein TerA_1,24
562.19186.peg.1737,core,Erythronate-4-phosphate dehydrogenase (EC 1.1.1.290)_1,1970
562.22438.peg.4585,unique,"Type I restriction-modification system, specificity subunit S_22",30
562.22452.peg.2376,unique,Phage major capsid protein_3,110
562.22453.peg.4017,unique,Predicted transcriptional regulators_2,8
562.22507.peg.3662,unique,"Anaerobic selenate reductase, molybdenum cofactor-containing periplasmic protein_9",23
562.22507.peg.1931,core,S-adenosylmethionine synthetase (EC 2.5.1.6)_2,1970
562.22514.peg.3957,unique,beta-glucuronidase (EC 3.2.1.31)_3,6
562.22524.peg.885,core,FMNH2-dependent alkanesulfonate monooxygenase (EC 1.14.14.5)_2,1962
562.22547.peg.4661,accessory,Outer membrane porin OmpD_3,1306
562.22589.peg.4616,unique,IncP-type DNA transfer primase TraC_2,5
562.22591.peg.572,unique,VgrG protein_42,13
562.22637.peg.2519,unique,DNA-cytosine methyltransferase (EC 2.1.1.37)_27,8
562.22667.peg.3059,unique,PspA_1,7
562.23015.peg.3272,unique,Exonuclease SbcC_5,5
562.23313.peg.450,unique,"Anaerobic selenate reductase, molybdenum cofactor-containing periplasmic protein_20",14
562.23725.peg.4660,unique,DNA-cytosine methyltransferase (EC 2.1.1.37)_49,6
562.28389.peg.677,core,8-amino-7-oxononanoate synthase (EC 2.3.1.47)_2,1967
562.28998.peg.2081,unique,"Type I secretion system ATPase, LssB family LapB_7",5
562.42648.peg.4625,unique,VgrG protein_162,49
562.42666.peg.3977,accessory,Putative uncharacterized protein YhcG_11,754
562.7658.peg.4962,accessory,Phage portal vertex protein GpQ_56,525
562.12959.peg.1490,core,Galactosamine-6-phosphate isomerase AgaS_1,1956
562.12959.peg.531,accessory,Dihydrolipoamide succinyltransferase component (E2) of 2-oxoglutarate dehydrogenase complex (EC 2.3.1.61)_1,992
562.12959.peg.3185,accessory,Diguanylate cyclase (EC 2.7.7.65) => DgcP_1,1937
562.16466.peg.60,unique,"Alpha-1,3-N-acetylgalactosamine transferase PglA (EC 2.4.1.-)_1",59
562.19186.peg.1660,unique,L-rhamnonate transporter (predicted by genome context)_2,6
562.22430.peg.4629,accessory,Ethanol dehydrogenase [NAD+]_1,212
562.22431.peg.1553,unique,"Type I restriction-modification system, specificity subunit S_20",11
562.22453.peg.513,unique,Putative ankyrin repeat protein B_7,101
562.22481.peg.4135,unique,AidA-I adhesin-like protein_15,154
562.22659.peg.5430,unique,Transposase InsG for insertion sequence element IS4_8,7
562.22863.peg.2326,unique,DNA-cytosine methyltransferase (EC 2.1.1.37)_34,5
562.22961.peg.5088,unique,Putative large exoprotein involved in heme utilization or adhesion of ShlA/HecA/FhaA family_88,5
562.22990.peg.1551,unique,"Phage head, head-tail preconnector protease C / Phage head, scaffolding domain Nu3_20",7
562.23615.peg.2711,core,Acyl-CoA dehydrogenase YdiO_3,1952
562.23862.peg.4966,unique,Transposase InsD for insertion element IS2_50,14
562.28810.peg.3351,accessory,"Lipopolysaccharide 1,2-N-acetylglucosaminetransferase (EC 2.4.1.56)_6",282
562.28810.peg.4598,unique,Uncharacterized transposase YagA_4,11
562.42765.peg.4575,accessory,"Sialic acid-induced transmembrane protein YjhT(NanM), possible mutarotase_1",802
562.7570.peg.4957,unique,"Phage tail tip, host specificity protein J_196",15
562.12959.peg.1313,core,N-acetylornithine deacetylase (EC 3.5.1.16)_1,1970
562.12959.peg.384,accessory,S-adenosylmethionine synthetase (EC 2.5.1.6)_1,328
562.12959.peg.927,core,Alcohol dehydrogenase (EC 1.1.1.1)_2,1954
562.12959.peg.5054,core,Cell division protein FtsZ_1,1970
562.12961.peg.515,core,Lipid-A-disaccharide synthase (EC 2.4.1.182)_1,1970
562.22444.peg.4894,unique,Putative transposase InsK for insertion sequence element IS150_13,61
562.22451.peg.4948,unique,Macrolide-specific efflux protein MacA_2,10
562.22453.peg.4292,unique,"Peptidase S1, chymotrypsin:PDZ/DHR/GLGF domain precursor_1",17
562.22462.peg.285,unique,DNA-cytosine methyltransferase (EC 2.1.1.37)_15,20
562.22476.peg.2963,unique,N-acetylgalactosamine 6-sulfate sulfatase (GALNS)_1,5
562.22701.peg.3180,unique,DNA-cytosine methyltransferase (EC 2.1.1.37)_30,6
562.22746.peg.465,unique,c-di-GMP phosphodiesterase (EC 3.1.4.52) => PdeB_6,15
562.22854.peg.3652,core,Inner membrane protein YhiM_3,1952
562.23468.peg.4761,unique,Glycosyltransferase_31,10
562.23619.peg.2033,unique,"Acyl-CoA:acetate CoA-transferase, alpha subunit (EC 2.8.3.8) / Acyl-CoA:acetate CoA-transferase, beta subunit (EC 2.8.3.8)_4",29
562.23741.peg.2823,unique,Cystathionine beta-lyase MalY (EC 4.4.1.8) @ Maltose regulon modulator_13,5
562.42818.peg.3865,accessory,Flagellar biosynthesis protein FlhB_7,1913
562.42818.peg.1191,core,A/G-specific adenine glycosylase (EC 3.2.2.-)_2,1968
562.7581.peg.845,unique,"Type I restriction-modification system, specificity subunit S_185",8
562.12959.peg.1039,accessory,Galactonate dehydratase (EC 4.2.1.6)_1,1935
